source_hgnc_id,source_hgnc_symbol,relation,target_hgnc_id,target_hgnc_symbol,stmt_hash,evidence_count,source_counts
320,AGER,DecreaseAmount,4983,HMGB1,-28564756312883396,2,"{""reach"": 2}"
320,AGER,IncreaseAmount,4983,HMGB1,-16380693044018211,9,"{""reach"": 6, ""isi"": 2, ""medscan"": 1}"
31499,MIR1-1,DecreaseAmount,6743,CAPRIN1,-700652787946128,1,"{""reach"": 1}"
3118,E2F4,DecreaseAmount,9847,RANBP1,23657176736735459,2,"{""biopax"": 2}"
2891,DKK1,IncreaseAmount,4983,HMGB1,-20282263340467557,2,"{""reach"": 2}"
2869,DHPS,DecreaseAmount,4983,HMGB1,-29050538118020246,1,"{""reach"": 1}"
21270,GRWD1,DecreaseAmount,10316,RPL23,447851493727841,1,"{""reach"": 1}"
20738,SYVN1,IncreaseAmount,4983,HMGB1,11795336492938234,1,"{""reach"": 1}"
20738,SYVN1,DecreaseAmount,4983,HMGB1,24278434763263881,1,"{""reach"": 1}"
19042,MASTL,IncreaseAmount,4983,HMGB1,-15451765337399878,1,"{""reach"": 1}"
19042,MASTL,DecreaseAmount,4983,HMGB1,7559556370048330,1,"{""reach"": 1}"
1785,CDKN1B,DecreaseAmount,1874,CFL1,-3031778062329704,1,"{""reach"": 1}"
1784,CDKN1A,DecreaseAmount,4983,HMGB1,15887535020356107,2,"{""reach"": 2}"
1784,CDKN1A,IncreaseAmount,30064,PBRM1,-27610016016300895,1,"{""reach"": 1}"
16909,NDC80,IncreaseAmount,4983,HMGB1,5608265093718333,1,"{""reach"": 1}"
17016,KAT7,IncreaseAmount,4983,HMGB1,8399957748975923,1,"{""reach"": 1}"
17016,KAT7,DecreaseAmount,4983,HMGB1,6461065617903168,1,"{""reach"": 1}"
16262,YAP1,IncreaseAmount,9847,RANBP1,22388393631618174,1,"{""reach"": 1}"
1579,CCNB1,DecreaseAmount,4983,HMGB1,-14368131192395995,1,"{""reach"": 1}"
1535,RUNX1T1,IncreaseAmount,4983,HMGB1,-15750630782071703,1,"{""reach"": 1}"
14524,SPAG9,DecreaseAmount,4983,HMGB1,-34741077841619406,1,"{""reach"": 1}"
12687,VHL,IncreaseAmount,4983,HMGB1,22680327943015769,1,"{""reach"": 1}"
11766,TGFB1,IncreaseAmount,1874,CFL1,10998438817021484,3,"{""reach"": 2, ""sparser"": 1}"
11766,TGFB1,IncreaseAmount,4983,HMGB1,23350172198994463,2,"{""reach"": 2}"
11766,TGFB1,DecreaseAmount,4931,HLA-A,31353153543223889,1,"{""medscan"": 1}"
11751,TFDP2,IncreaseAmount,9847,RANBP1,22513449143908770,1,"{""biopax"": 1}"
11751,TFDP2,DecreaseAmount,9847,RANBP1,-33351122281467396,2,"{""biopax"": 2}"
11749,TFDP1,IncreaseAmount,9847,RANBP1,-21598518285456981,1,"{""biopax"": 1}"
11749,TFDP1,DecreaseAmount,9847,RANBP1,-1174545568594300,7,"{""biopax"": 7}"
11633,TCF3,DecreaseAmount,1917,CHD2,3158719957794584,1,"{""biopax"": 1}"
11425,STS,DecreaseAmount,4983,HMGB1,30337449713878333,3,"{""reach"": 3}"
11425,STS,IncreaseAmount,4983,HMGB1,10640665706839967,7,"{""reach"": 7}"
11393,AURKA,DecreaseAmount,1874,CFL1,10394757587493612,1,"{""medscan"": 1}"
11393,AURKA,IncreaseAmount,1874,CFL1,32878081240697315,1,"{""reach"": 1}"
