source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
3238	EGR1	IncreaseAmount	2514	CTNNB1	-11008795602848830	1	"{""reach"": 1}"
3238	EGR1	IncreaseAmount	2514	CTNNB1	21228601054776733	4	"{""reach"": 2, ""medscan"": 2}"
3238	EGR1	IncreaseAmount	2095	CLU	-11451660280094723	1	"{""medscan"": 1}"
3238	EGR1	DecreaseAmount	2095	CLU	4561879225486556	1	"{""medscan"": 1}"
3238	EGR1	DecreaseAmount	11290	SREBF2	15168764662841097	1	"{""biopax"": 1}"
3236	EGFR	IncreaseAmount	1937	CHKA	14368705596447827	1	"{""reach"": 1}"
3229	EGF	IncreaseAmount	9236	PPARG	29103797218563954	6	"{""reach"": 6}"
3229	EGF	IncreaseAmount	9092	PLSCR1	30824137247257088	2	"{""reach"": 1, ""medscan"": 1}"
3229	EGF	IncreaseAmount	9053	PLAUR	12316031821942551	18	"{""reach"": 13, ""medscan"": 5}"
3229	EGF	IncreaseAmount	785	ATF3	-27366393419743785	1	"{""reach"": 1}"
3229	EGF	IncreaseAmount	6563	LGALS3	34123493292521545	1	"{""reach"": 1}"
3229	EGF	DecreaseAmount	6563	LGALS3	-8335229162737831	2	"{""medscan"": 1, ""reach"": 1}"
3229	EGF	IncreaseAmount	6547	LDLR	26391919260976041	1	"{""reach"": 1}"
3229	EGF	IncreaseAmount	543	ANXA5	-9689959614704425	1	"{""medscan"": 1}"
3229	EGF	IncreaseAmount	5006	HMGCR	27287123640273783	1	"{""reach"": 1}"
3229	EGF	IncreaseAmount	3594	FASN	29756519612929956	6	"{""reach"": 6}"
3229	EGF	IncreaseAmount	3560	FABP5	15432361782331867	1	"{""reach"": 1}"
3229	EGF	IncreaseAmount	2514	CTNNB1	14235136082143076	5	"{""medscan"": 2, ""reach"": 3}"
3229	EGF	DecreaseAmount	2514	CTNNB1	-19701865487795470	7	"{""medscan"": 1, ""reach"": 6}"
3229	EGF	IncreaseAmount	21732	ANTXR2	16908341935874602	1	"{""sparser"": 1}"
3229	EGF	IncreaseAmount	2095	CLU	34989986462004135	1	"{""reach"": 1}"
3229	EGF	DecreaseAmount	2095	CLU	504455921438429	2	"{""reach"": 2}"
3229	EGF	DecreaseAmount	18152	TNFRSF12A	-9658063366136564	1	"{""reach"": 1}"
3229	EGF	IncreaseAmount	18152	TNFRSF12A	29888421153178742	7	"{""reach"": 7}"
3229	EGF	IncreaseAmount	144	ACTG1	-20625210030819456	1	"{""reach"": 1}"
3229	EGF	IncreaseAmount	11863	TM7SF2	14684632833052452	2	"{""reach"": 2}"
3229	EGF	DecreaseAmount	11863	TM7SF2	29688142645309476	1	"{""reach"": 1}"
3229	EGF	IncreaseAmount	10488	S100A11	15589919336682837	2	"{""reach"": 1, ""medscan"": 1}"
2976	DNMT1	DecreaseAmount	3594	FASN	-34353806788490996	1	"{""reach"": 1}"
2976	DNMT1	DecreaseAmount	2514	CTNNB1	35113933542662083	2	"{""reach"": 2}"
2976	DNMT1	IncreaseAmount	2514	CTNNB1	-29728844903017715	2	"{""reach"": 2}"
2976	DNMT1	DecreaseAmount	11290	SREBF2	-25096342155332457	1	"{""reach"": 1}"
2976	DNMT1	DecreaseAmount	9236	PPARG	26210636873984470	1	"{""reach"": 1}"
2976	DNMT1	DecreaseAmount	9236	PPARG	43252978505240	1	"{""reach"": 1}"
2976	DNMT1	IncreaseAmount	9236	PPARG	11033908874319060	4	"{""medscan"": 2, ""reach"": 2}"
2976	DNMT1	DecreaseAmount	5006	HMGCR	22648458710552881	1	"{""reach"": 1}"
24818	FOXJ2	DecreaseAmount	785	ATF3	981089710950388	1	"{""biopax"": 1}"
24818	FOXJ2	IncreaseAmount	5007	HMGCS1	24206898213095912	1	"{""medscan"": 1}"
24818	FOXJ2	IncreaseAmount	5006	HMGCR	11615068167453440	1	"{""medscan"": 1}"
24818	FOXJ2	DecreaseAmount	11440	STX5	27948349299458985	1	"{""biopax"": 1}"
2257	CORT	DecreaseAmount	9236	PPARG	-13258803664845776	1	"{""reach"": 1}"
20951	FOXQ1	IncreaseAmount	2514	CTNNB1	-7185411505106590	1	"{""reach"": 1}"
19310	PIM3	IncreaseAmount	9236	PPARG	33878346317836054	1	"{""reach"": 1}"
19310	PIM3	IncreaseAmount	2514	CTNNB1	-31520328920573494	1	"{""reach"": 1}"
19310	PIM3	IncreaseAmount	2514	CTNNB1	9119508320232314	2	"{""reach"": 2}"
