source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts	reason_added	source_observed	target_observed
8912	PHB1	DecreaseAmount	12518	UCP2	25389933269145968	1	"{""reach"": 1}"	mediator	False	True
10429	RPS6	IncreaseAmount	8912	PHB1	-647574630403817	1	"{""reach"": 1}"	mediator	True	False
823	ATP5F1A	IncreaseAmount	85	ACACB	8088539549127025	1	"{""reach"": 1}"	mediator	True	False
85	ACACB	IncreaseAmount	12518	UCP2	451327029882707	1	"{""reach"": 1}"	mediator	False	True
4852	HDAC1	DecreaseAmount	85	ACACB	1251870614364098	1	"{""reach"": 1}"	mediator	True	False
7007	RAB8A	IncreaseAmount	7876	NOS3	32875752669810551	1	"{""reach"": 1}"	mediator	True	False
7876	NOS3	IncreaseAmount	12518	UCP2	5844055999381014	1	"{""reach"": 1}"	mediator	False	True
667	RHOA	IncreaseAmount	7876	NOS3	-15119538396109396	7	"{""reach"": 7}"	mediator	True	False
667	RHOA	DecreaseAmount	7876	NOS3	16735230402123227	1	"{""reach"": 1}"	mediator	True	False
667	RHOA	DecreaseAmount	7876	NOS3	-30653783905785557	1	"{""reach"": 1}"	mediator	True	False
667	RHOA	IncreaseAmount	7876	NOS3	21653636081072922	1	"{""reach"": 1}"	mediator	True	False
667	RHOA	IncreaseAmount	7876	NOS3	11063422807671289	1	"{""reach"": 1}"	mediator	True	False
667	RHOA	DecreaseAmount	7876	NOS3	617728256611126	48	"{""reach"": 44, ""medscan"": 4}"	mediator	True	False
4852	HDAC1	IncreaseAmount	7876	NOS3	-34886526953596629	2	"{""medscan"": 2}"	mediator	True	False
4852	HDAC1	DecreaseAmount	7876	NOS3	15138427157440809	1	"{""reach"": 1}"	mediator	True	False
667	RHOA	DecreaseAmount	7873	NOS2	33921853155376064	9	"{""reach"": 9}"	mediator	True	False
7873	NOS2	DecreaseAmount	12518	UCP2	8372101442789708	1	"{""bel"": 1}"	mediator	False	True
667	RHOA	IncreaseAmount	7873	NOS2	-32056918773091769	7	"{""reach"": 7}"	mediator	True	False
5036	HNRNPD	DecreaseAmount	7873	NOS2	-23228898874175040	3	"{""reach"": 3}"	mediator	True	False
5036	HNRNPD	DecreaseAmount	7873	NOS2	-1279996545989200	1	"{""reach"": 1}"	mediator	True	False
4852	HDAC1	DecreaseAmount	7873	NOS2	31284115960997172	1	"{""reach"": 1}"	mediator	True	False
4392	GNAS	DecreaseAmount	7873	NOS2	-5264355699092802	1	"{""reach"": 1}"	mediator	True	False
18116	KHDRBS1	IncreaseAmount	7873	NOS2	31875263826879128	1	"{""medscan"": 1}"	mediator	True	False
11313	RO60	DecreaseAmount	7873	NOS2	22892900566086919	1	"{""reach"": 1}"	mediator	True	False
10429	RPS6	DecreaseAmount	7873	NOS2	-12270359776472577	1	"{""reach"": 1}"	mediator	True	False
7782	NFE2L2	DecreaseAmount	12518	UCP2	21260205048785223	1	"{""reach"": 1}"	mediator	False	True
